"id","series_id","product_type","pixel","pixel_configuration","driving_mode","brightness","module_resolution","module_size","cabinet_size","price1","price2","stock","spare_module_price"
"29","3","2","P2.6","SMD1415","1/24 duty","4500","96x96","250x250","500x1000","416.4","",,"33.5 "
"30","3","2","P2.97","SMD1415","1/21 duty","4500","84x84 ","250x250","500x1000","331.6","",,"22.9 "
"31","3","2","P3.91(16s)","SMD1921","1/16 duty","4800","64x64","250x250","500x1000","278","",,"18.5 "
"32","3","2","P3.91(8s)","SMD1921","1/8 duty","6000","64x64","250x250","500x1000","296.4","",,"18.5 "
"33","4","1","P1.56 GOB","SMD1212","1/40 duty","700","160x160","250x250","500x500","302.5","",,"51.0 "
"34","4","1","P1.95 GOB","SMD1515","1/32 duty","750","128x128","250x250","500x500","248.1","",,"37.4 "
"35","4","1","P2.6 GOB","SMD1515","1/32 duty","750","96x96","250x250","500x500","196.6","",,"24.5 "
"36","4","1","P2.97","SMD2020","1/28 duty","750","84x84 ","250x250","500x500","169.1","",,"17.6 "
"37","4","2","P2.6","SMD1415","1/24 duty","4500","96x96","250x250","500x500","237.5","",,"33.5 "
"38","4","2","P2.97","SMD1415","1/ 21duty","4500","84x84 ","250x250","500x500","195.2","",,"22.9 "
"39","4","2","P3.91(16s)","SMD1921","1/16 duty","4800","64x64","250x250","500x500","168.4","",,"18.5 "
"40","4","2","P3.91(8s)","SMD1921","1/8 duty","6000","64x64","250x250","500x500","177.5","",,"18.5 "
"41","5","1","P1.95 GOB","SMD1515","1/32 duty","750","256x128","500x250","500x500","328.9","",,"91.8 "
"42","5","1","P2.6 GOB","SMD1515","1/32 duty","750","96x96","250x250","500x500","271.8","",,"31.6 "
"43","5","1","P2.97","SMD1515","1/28 duty","750","84x84","250x250","500x500","235.8","",,"22.6 "
"44","5","2","P2.6","SMD1415","1/24 duty","4500","96x96","250x250","500x500","317.5","",,"41.6 "
"45","5","2","P2.97","SMD1415","1/21 duty","4500","84x84","250x250","500x500","281.5","",,"32.6 "
"46","5","2","P3.91","SMD1921","1/16 duty","4800","64x64","250x250","500x500","240.5","",,"22.4 "
"47","6","1","P1.56 GOB","SMD1212","1/40 duty","700","160x160","250x250","500x500","327","",,"53.1 "
"48","6","1","P1.95 GOB","SMD1515","1/32 duty","750","128x128","250x250","500x500","272.6","",,"39.5 "
"49","6","1","P2.6 GOB","SMD1515","1/32 duty","750","96x96","250x250","500x500","219.7","",,"26.3 "
"50","6","1","P2.97","SMD2020","1/28 duty","750","84x84 ","250x250","500x500","190.8","",,"19.1 "
"51","6","2","P2.6","SMD1415","1/24 duty","4500","96x96","250x250","500x500","260.3","",,"49.6 "
"52","6","2","P2.97","SMD1415","1/21 duty","4500","84x84 ","250x250","500x500","216.5","",,"35.8 "
"53","6","2","P3.91(16s)","SMD1921","1/16 duty","4800","64x64","250x250","500x500","188.3","",,"25.8 "
"54","6","2","P3.91(8s)","SMD1921","1/8 duty","6000","64x64","250x250","500x500","197.5","",,"25.8 "
"55","7","1","P1.56 GOB","SMD1212","1/40 duty","700","160x160","250x250","500x500","355.2","",,"53.1 "
"56","7","1","P1.95 GOB","SMD1515","1/32 duty","750","128x128","250x250","500x500","300.9","",,"39.5 "
"57","7","1","P2.6 GOB","SMD1515","1/32 duty","750","96x96","250x250","500x500","247.9","",,"26.3 "
"58","7","1","P2.97","SMD1515","1/28 duty","750","84x84 ","250x250","500x500","219","",,"19.1 "
"59","7","2","P2.6","SMD1415","1/24 duty","4500","96x96","250x250","500x500","288.5","",,"49.6 "
"60","7","2","P2.97","SMD1415","1/21 duty","4500","84x84 ","250x250","500x500","244.8","",,"35.8 "
"61","7","2","P3.91(16s)","SMD1921","1/16 duty","4800","64x64","250x250","500x500","216.5","",,"25.8 "
"62","7","2","P3.91(8s)","SMD1921","1/8 duty","6000","64x64","250x250","500x500","225.7","",,"25.8 "
"63","8","1","P2.6 GOB","SMD1515","1/32 duty","750","96x96","250x250","250x500","175.5","",,"26"
"64","8","1","P2.97","SMD1515","1/28 duty","750","84x84 ","250x250","250x500","156.7","",,"19"
"65","8","2","P2.97","SMD1415","1/21 duty","4500","84x84 ","250x250","250x500","178.8","",,"36"
"66","8","2","P3.91","SMD1921","1/16 duty","4800","64x64","250x250","250x500","151.1","",,"26"
"67","9","1","P1.56 GOB","SMD1212","1/40 duty","700","160x160","250x250","500x1000","592.1","",,"53"
"68","9","1","P1.95 GOB","SMD1515","1/32 duty","750","128x128","250x250","500x1000","483.4","",,"40"
"69","9","1","P2.6 GOB","SMD1515","1/32 duty","750","96x96","250x250","500x1000","377.5","",,"26"
"70","9","1","P2.97","SMD1515","1/28 duty","750","84x84 ","250x250","500x1000","319.6","",,"19"
"71","9","2","P2.6","SMD1415","1/24 duty","4500","96x96","250x250","500x1000","455.9","",,"50"
"72","9","2","P2.97","SMD1415","1/21 duty","4500","84x84","250x250","500x1000","368.4","",,"36"
"73","9","2","P3.91(16s)","SMD1921","1/16 duty","4800","64x64","250x250","500x1000","311.9","",,"26"
"74","9","2","P3.91(8s)","SMD1921","1/8 duty","6000","64x64","250x250","500x1000","330.2","",,"26"
"75","10","2","P3.79","SMD1921","1/19 duty","4500","76x76","288x288","576x576","234.5","",,"27"
"76","10","2","P4.8","SMD1921","1/10 duty","4500","60x60","288x288","576x576","211.2","",,"21"
"77","11","2","P1.86","MIP1010","1/43 duty","4000","172x86","320x160","640x640","928.4","",,"100.2 "
"78","11","2","P2","SMD1415","1/40 duty","4500","160x80","320x160","640x640","576.9","",,"56.3 "
"79","11","2","P2.5","SMD1415","1/16 duty","5000","128x64","320x160","640x640","352.4","",,"28.2 "
"80","11","2","P3.076","SMD1415","1/13 duty","5000","104x52","320x160","640x640","283.2","",,"19.6 "
"81","11","2","P4","SMD1921","1/10 duty","5500","80x40 ","320x160","640x640","226.8","",,"12.5 "
"82","11","2","P5","SMD1921","1/8 duty","5500","64x32","320x160","640x640","204.2","",,"9.7"
"83","12","2","P3.91-7.82","SMD1921","1/8 duty","4500","128x32","500x250","1000x500","396","70.1",,"70.1 "
"84","12","2","P10.4","SMD2727","1/2 duty","4500","48x24","500x250","1000x500","351.8","59.1",,"59.1 "
"85","12","2","P15.6","SMD2727","1/1 duty","4500","32x16","500x250","1000x500","325.4","52.5",,"52.5 "
"86","13","2","P3.91-7.82","SMD1921","1/8 duty","4500","128x32","500x250","500x500","250.9","87.8",,"87.8 "
"87","14","1","P1.25 GOB","SMD1010","1/64 duty","600","256x128","320x160","960x480","","1342.3",,"55.9 "
"88","14","1","P1.53 GOB","SMD1212","1/52 duty","600","208x104","320x160","960x480","","997.6",,"38.3 "
"89","14","1","P1.56 GOB(320x160)","SMD1212","1/51 duty","600","204x102","320x160","960x480","","997.6",,"38.3 "
"90","14","1","P1.86 GOB","SMD1515","1/43 duty","600","172x86","320x160","960x480","","842.5",,"30.4 "
"91","14","1","P2 GOB(320x160)","SMD1515","1/40 duty","650","160x80","320x160","960x480","","794.3",,"27.9 "
"92","14","1","P2.5(320x160)","SMD1515","1/32 duty","700","128x64","320x160","960x480","","549.6",,"15.4 "
"93","14","1","P3.076","SMD2020","1/26 duty","700","104x52","320x160","960x480","","497.9",,"12.7 "
"94","14","1","P4(320x160)","SMD2020","1/20 duty","600","80x40","320x160","960x480","","473.7",,"11.5 "
"95","14","1","P5","SMD2020","1/16 duty","600","64x32","320x160","960x480","","439.3",,"12.7 "
"96","14","1","P1.56 GOB(250x250)","SMD1212","1/40 duty","600","160x160","250x250","1000x500","","1117.1",,"54.4 "
"97","14","1","P1.95 GOB","SMD1515","1/32 duty","700","128x128","250x250","1000x500","","925.1",,"42.4 "
"98","14","1","P2.6","SMD1515","1/32 duty","700","96x96","250x250","1000x500","","620.1",,"23.3 "
"99","14","1","P0.9 COB","COB","1/64 duty","800","256x128","240x120","960x480","","4649.2",,"126.7 "
"100","14","1","P0.9","IMD-M09","1/64 duty","650","256x128","240x120","960x480","","4649.2",,"126.7 "
"101","14","1","P1.25 GOB(240x120)","SMD1010","1/48 duty","650","192x96","240x120","960x480","","1487.4",,"35.6 "
"102","14","1","P1.579 GOB","SMD1212","1/38 duty","700","152x76","240x120","960x480","","1076.9",,"23.8 "
"103","14","1","P1.875 GOB","SMD1515","1/32 duty","700","128x64","240x120","960x480","","905.3",,"18.9 "
"104","14","1","P2 GOB(240x120)","SMD1515","1/30 duty","700","120x60","240x120","960x480","","868.6",,"17.8 "
"105","14","1","P2.5(240x120)","SMD1515","1/24 duty","700","96x48","240x120","960x480","","611.2",,"10.4 "
"106","14","1","P3","SMD2020","1/20 duty","650","80x40","240x120","960x480","","580.6",,"9.5 "
"107","14","1","P4(240x120)","SMD2020","1/15 duty","650","60x30","240x120","960x480","","513.2",,"7.6 "
"108","14","1","P2 GOB","SMD1515","1/32 duty","800","128x64","256x128","1024x512","","881.7",,"20.8 "
"109","14","1","P4","SMD2020","1/16 duty","700","64x32 ","256x128","1024x512","","501.7",,"8.4 "
"110","14","1","P1.2 GOB","SMD1010","1/45 duty","600","240x135","300x168.75","900x506.25","","1933.7",,"85.2 "
"111","14","1","P1.5 GOB","SMD1212","1/54 duty","600","192x108","300x168.75","900x506.25","","1111",,"43.6 "
"112","14","1","P1.8 GOB","SMD1515","1/45 duty","650","160x90","300x168.75","900x506.25","","919.3",,"33.9 "
"113","14","1","P2.3","SMD1515","1/36 duty","650","128x72","300x168.75","900x506.25","","650.9",,"20.3"
"114","15","1","P2 GOB(713x1270)","SMD1515","3840Hz","650","1120x560","","713x1270","2718","",,"20.5 "
"115","15","1","P2 GOB(713x1750)","SMD1515","3840Hz","650","1120x800","","713x1750","4024","",,"20.5 "
"116","15","1","P1.86 GOB(713x1270)","SMD1515","3840Hz","650","1204x602","","713x1270","3071","",,"25.8 "
"117","15","1","P1.86 GOB(611x1700)","SMD1515","3840Hz","650","1032x817","","611x1700","3671","",,"25.8 "
"118","16","1","P1.86 Fridge(611x1055)","SMD1515","3840Hz","650","1280x630","","611x1055","3335","",,"25.8 "
"119","16","1","P2.5(1065x585x1100)","SMD1515","3840Hz","600","1920x960","1065x585x1100","1920x960","1911.8 ","",,"22.2"
"120","16","1","P2.5(1360x585x1100)","SMD1515","3840Hz","600","2240x960","1360*585*1100","2240x960","2113.2 ","",,"22.2"
"121","16","1","P2.5(1675x585x1100)","SMD1515","3840Hz","600","2560x960","1675*585*1100","2560x960","2298.6 ","",,"22.2"
"122","16","1","P1.86(1065x585x1100)","SMD1515","3840Hz","600","1920x960","1065x585x1100","1920x960","2415.0 ","",,"34.4"
"123","16","1","P1.86(1360x585x1100)","SMD1515","3840Hz","600","2240x960","1360*585*1100","2240x960","2689.3 ","",,"34.4"
"124","16","1","P1.86(1675x585x1100)","SMD1515","3840Hz","600","2560x960","1675*585*1100","2560x960","2947.5 ","",,"34.4"
"125","16","1","P1.53(1065x585x1100)","SMD1212","3840Hz","600","1920x960","1065x585x1100","1920x960","2864.2 ","",,"43.2"
"126","16","1","P1.53(1360x585x1100)","SMD1212","3840Hz","600","2240x960","1360*585*1100","2240x960","3191.6 ","",,"43.2"
"127","16","1","P1.53(1675x585x1100)","SMD1212","3840Hz","600","2560x960","1675*585*1100","2560x960","3519.0 ","",,"43.2"
"128","17","1","P1.86(530x460x1150)","SMD1515","3840Hz","600","320x960","530x460x1150","320x960","690.2 ","",,"34.4"
"129","17","1","P1.86(650x460x1150)","SMD1515","3840Hz","600","480x960","650x460x1150","480x960","848.5 ","",,"34.4"
